127.0.0.1 - - [04/Apr/2022:12:50:10 +0200] "GET / HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:50:37 +0200] "GET /csi2crmapp/ HTTP/1.1" 200 159704
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:50:37 +0200] "GET /csi2crmapp/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:50:37 +0200] "GET /csi2crmapp/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:50:37 +0200] "GET /csi2crmapp/css/tooplate-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:50:37 +0200] "GET /csi2crmapp/css/fontawesome-all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:50:37 +0200] "GET /csi2crmapp/js/jquery.backstretch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:50:37 +0200] "GET /csi2crmapp/js/jquery.magnific-popup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:50:37 +0200] "GET /csi2crmapp/js/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:50:37 +0200] "GET /csi2crmapp/slick/slick.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:50:37 +0200] "GET /csi2crmapp/slick/slick.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:50:37 +0200] "GET /csi2crmapp/slick/slick-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:50:37 +0200] "GET /csi2crmapp/img/nav-item.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:50:37 +0200] "GET /csi2crmapp/img/nav-item-highlight.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:50:37 +0200] "GET /csi2crmapp/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:50:38 +0200] "GET /csi2crmapp/img/constructive_bg_04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:50:38 +0200] "GET /csi2crmapp/img/constructive_bg_01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:50:38 +0200] "GET /csi2crmapp/img/constructive_bg_02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:50:38 +0200] "GET /csi2crmapp/img/constructive_bg_03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:50:38 +0200] "GET /favicon.ico HTTP/1.1" 404 699
